SHIP_NAME;INSPECTION_MONTH_YEAR;RISK_CLASSIFICATION;COMPLIANCE_INDEX;RISK_SCORE;SEASON
MSC ARMONIA;11/2015;D;90,56;470;Cruise Ship Inspection Program 2015/2016 - November 2015
MSC POESIA;10/2015;B;95,90;205;Cruise Ship Inspection Program 2015/2016 - December 2015
ARTANIA;01/2015;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - January 2015
SILVER CLOUD;02/2015;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - February 2015
BALMORAL;02/2018;D;84,80;760;Cruise Ship Inspection Program 2017/2018 -  February 2018
MARCO POLO;01/2019;B;96,80;160;Cruise Ship Inspection Program 2018/2019 - January 2019
SOVEREIGN (SOBERANO);02/2011;C;89,27;360;Cruise Ship Inspection Program 2010/2011 - February 2011
COSTA FAVOLOSA;12/2017;A;97,60;120;Cruise Ship Inspection Program 2017/2018 -  December 2017
AMERA (PRINSENDAM);01/2011;D;81,90;600;Cruise Ship Inspection Program 2010/2011 - January 2011
QUEEN VICTORIA;01/2014;C;91,06;430;Cruise Ship Inspection Program 2013/2014 - January 2014
COSTA FORTUNA;12/2010;C;89,58;325;Cruise Ship Inspection Program 2010/2011 - December 2010
SOVEREIGN (SOBERANO);12/2012;D;78,48;1035;Cruise Ship Inspection Program 2012/2013 - December 2012
GRAND CELEBRATION;11/2011;C;91,41;435;Cruise Ship Inspection Program 2011/2012 - November 2011
SEABOURN QUEST;11/2017;A;97,40;130;Cruise Ship Inspection Program 2017/2018 -  November 2017
SEVEN SEAS NAVIGATOR;12/2013;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - December 2013
COSTA DELIZIOSA;01/2015;A;99,60;20;Cruise Ship Inspection Program 2014/2015 - January 2015
SILVER WHISPER;12/2014;B;96,66;160;Cruise Ship Inspection Program 2014/2015 - December 2014
EMPRESS (IMPERATRIZ);11/2013;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - novembro 2013
MSC ARMONIA;02/2012;C;93,09;350;Cruise Ship Inspection Program 2011/2012 - February 2012
AZAMARA JOURNEY;02/2015;A;98,80;60;Cruise Ship Inspection Program 2014/2015 - February 2015
AZAMARA QUEST;12/2012;D;78,51;639;Cruise Ship Inspection Program 2012/2013 - December 2012
